Jun 25 23:04:26 <kushal>	-- Session starts --
Jun 25 23:04:42 <kushal>	Welcome you all once again 
Jun 25 23:04:43 <rtnpro>	kushal, yes
Jun 25 23:04:49 <kushal>	Thanks for joining us here 
Jun 25 23:05:13 <kushal>	may I ask you to tell your name and where are you from in one line everyone ?
Jun 25 23:05:37 <anki1>	Ankit Sharma , Ghaziabad (U.P) , India
Jun 25 23:05:57 <parthachowdhury>	Partha Chowdhury, Baranagar,Kolkata
Jun 25 23:06:09 <Meejan_>	Meejanur Rahaman, Dugapur, West Bengal
Jun 25 23:06:12 <akuscifi007>	Ankur jain , Ghaziabad , INDIA
Jun 25 23:06:15 <zer0c00l>	Arun, Tirunelveli (T.N), india
Jun 25 23:06:34 <rtnpro>	Ratnadeep Debnath, Durgapur, West Bengal
Jun 25 23:07:07 *	enthudrives has quit ("Page closed")
Jun 25 23:07:09 <kushal>	thanks
Jun 25 23:07:23 <kushal>	very low attendance it seems 
Jun 25 23:07:28 <priya>	Priya,Delhi,India
Jun 25 23:07:30 <kushal>	anyway , few things
Jun 25 23:07:39 <kushal>	Please attend all sessions 
Jun 25 23:08:33 <kushal>	always ask if you have any  doubt 
Jun 25 23:08:38 <kushal>	use the mailing list 
Jun 25 23:08:50 <kushal>	and IMPORTANT -- read last year's logs 
Jun 25 23:08:59 <kushal>	any questions ?
Jun 25 23:09:18 <anki1>	no
Jun 25 23:09:27 <priya>	no
Jun 25 23:09:42 <akuscifi007>	no
Jun 25 23:09:45 <kushal>	ok, going ahead
Jun 25 23:10:02 <kushal>	This year we changed the format of the training 
Jun 25 23:10:25 <kushal>	less direct sessions, more pressure on project works
Jun 25 23:10:36 <anki1>	i like this !
Jun 25 23:11:39 <rtnpro>	kushal, nice idea
Jun 25 23:11:48 <kushal>	as we found out most of the students don't like to code at all, we are trying to get some developers here 
Jun 25 23:11:48 *	priya has quit ("Ex-Chat")
Jun 25 23:12:19 <Meejan_>	kushal, I have seen the project list
Jun 25 23:12:35 *	priya (n=priya@59.180.145.48) has joined #dgplug
Jun 25 23:12:36 <Meejan_>	kushal, I am a newbie in linux
Jun 25 23:13:02 <kushal>	Meejan_, please type ! , and speak when the moderator asks you 
Jun 25 23:13:18 <parthachowdhury>	!
Jun 25 23:13:20 <Meejan_>	kushal, sorry.
