Jun 27 19:02:30 <kushal>	----- Session starts ----
Jun 27 19:02:37 <kushal>	RollColl please 
Jun 27 19:02:56 <SkyRocknRoll>	Yes
Jun 27 19:03:05 <mbuf>	kushal: or just not on time
Jun 27 19:03:09 <mbuf>	SkyRocknRoll: say your name
Jun 27 19:03:22 *	priya (n=priya@59.180.135.128) has joined #dgplug
Jun 27 19:03:23 <SkyRocknRoll>	mbuf: My Name is YUVARAJ
Jun 27 19:04:19 <priya>	priya
Jun 27 19:05:31 <mbuf>	kushal: i guess, people don't know what a roll call is?
Jun 27 19:05:57 <kushal>	mbuf, we did roll call last night only 
Jun 27 19:06:06 <mbuf>	kushal: ok
Jun 27 19:06:10 <kushal>	people when we say roll call, say your name 
Jun 27 19:06:12 <kushal>	like
Jun 27 19:06:14 <kushal>	Kushal Das
Jun 27 19:06:20 <SkyRocknRoll>	Yuvaraj
Jun 27 19:06:31 <SkyRocknRoll>	like this too
Jun 27 19:06:36 <mbuf>	ok let us begin
Jun 27 19:06:42 <SkyRocknRoll>	yes
Jun 27 19:07:10 <sumitc>	Sumit Chakraborty
Jun 27 19:07:13 <mbuf>	please download the presentation from: http://shakthimaan.com/downloads/glv/presentations/i-want-2-do-project-tell-me-wat-2-do-fedora.pdf
Jun 27 19:07:41 <mbuf>	if not done already; this presentation has been revised many a time, so I am going to go through this again
Jun 27 19:07:54 <SkyRocknRoll>	done
Jun 27 19:08:08 <mbuf>	also the chat logs will be useful for reference; if you want to ask a question, please type ! and I shall then prompt you to shoot a question
Jun 27 19:08:18 <mbuf>	please don't type any messages in the channel, otherwise;
Jun 27 19:08:38 <mbuf>	--> #n, means slide number 'n'
Jun 27 19:08:53 <mbuf>	--> #1
Jun 27 19:09:15 <mbuf>	this has been updated for Fedora, and it actually contains four presentation put together
Jun 27 19:09:25 <mbuf>	--> #2
Jun 27 19:09:38 <mbuf>	Please read;
Jun 27 19:10:06 <mbuf>	These are my views based on my experience; you are welcome to agree to disagree with me, if you like;
Jun 27 19:10:24 <mbuf>	You are also welcome to re-use, redistribute the presentation giving credit to my work;
Jun 27 19:10:28 <parthachowdhury>	partha chowdhury
Jun 27 19:10:50 <mbuf>	--> #3
Jun 27 19:11:02 <mbuf>	--> #4
Jun 27 19:11:16 <mbuf>	In the Industry and in geneal, we always address people by their first name;
Jun 27 19:11:31 <mbuf>	don't say 'Sir', 'Madam' etc.
Jun 27 19:11:36 <mbuf>	*general
Jun 27 19:12:00 <mbuf>	you can address me by my nickname in the IRC channel, otherwise, you address me as Shakthi;
Jun 27 19:12:15 <mbuf>	in written and spoken forms;
Jun 27 19:12:25 <mbuf>	--> #5
Jun 27 19:12:56 <mbuf>	In the Free Software community, you will meet people from different backgrounds, cultures who have different views; so it is important to not take things very personal;
Jun 27 19:13:27 <mbuf>	you are welcome to agree to disagree with different points of view, but, you should try to avoid any conflicts or arguments;
Jun 27 19:14:02 <mbuf>	--> #6
Jun 27 19:14:29 <mbuf>	you should always do something because you 'want' or you have a 'need' to do it
Jun 27 19:14:47 <mbuf>	you should never do things that are 'forced' to you; because, you will never do things well if it is 'forced' on to you;
Jun 27 19:15:01 *	Kkhushi (n=khushbu@59.180.157.115) has joined #dgplug
Jun 27 19:15:06 <mbuf>	always remember this;
Jun 27 19:15:18 <priya>	ok
Jun 27 19:15:28 <sumitc>	!
Jun 27 19:15:33 <mbuf>	priya: if you want to reply or ask a question, please use !
Jun 27 19:15:35 <mbuf>	sumitc: shoot
Jun 27 19:16:06 *	koyel_ (n=koyel@117.201.96.61) has joined #dgplug
Jun 27 19:16:07 <sumitc>	sometimes we *need* to do things that we do not want to, what should we do then?
Jun 27 19:16:31 *	koyel_ has quit (Client Quit)
Jun 27 19:16:53 *	koyel_ (n=koyel@117.201.96.61) has joined #dgplug
Jun 27 19:16:57 <mbuf>	sumitc: you could take it up as a challenge making it a necessity for you, or, don't do it because you feel you are being forced to do it;
Jun 27 19:17:18 <sumitc>	ok
Jun 27 19:17:20 <sumitc>	eof
Jun 27 19:17:23 <mbuf>	sumitc: either 'need' overrides the 'force', or 'force' doesn't let you do things that you don't want
Jun 27 19:17:48 <sumitc>	yes, in the end I have to prioritise i think
Jun 27 19:18:11 <mbuf>	sumitc: priority comes for your *need* tasks;
Jun 27 19:18:23 <mbuf>	sumitc: i wouldn't recommend doing anything that is forced on to you or others;
Jun 27 19:18:51 <sumitc>	tuxmaniac, what I meant was I have to prioritise my need vs. my liking
Jun 27 19:18:59 <spechard>	!
Jun 27 19:19:03 <sumitc>	need vs will
Jun 27 19:19:14 <mbuf>	sumitc: I would put liking as a subset of need;
Jun 27 19:19:19 <mbuf>	spechard: shoot!
Jun 27 19:19:30 <spechard>	i have an interesting link about this, maybe to read after class: http://whatconsumesme.com/2009/what-im-writing/how-to-be-happy-in-business-venn-diagram/
Jun 27 19:19:34 <mbuf>	sumitc: want and need can be used together;
Jun 27 19:19:43 <spechard>	it is not a question actually :-) <EOF>
Jun 27 19:19:53 <mbuf>	spechard: thanks!
Jun 27 19:20:06 <sumitc>	tuxmaniac, but that doesnot always happen in life
Jun 27 19:20:27 <mbuf>	a good example is that I find students in India doing Java because they *think* they will get a job, and not because they want or love Java;
Jun 27 19:20:38 *	koyel_ has quit (Client Quit)
Jun 27 19:20:43 <sumitc>	tuxmaniac, exactly my point
Jun 27 19:20:48 <tuxmaniac>	sorry for the disturbance. Why are you addressing stuff to me?
Jun 27 19:20:52 <tuxmaniac>	sumitc: ^
Jun 27 19:20:59 <mbuf>	in the end they force themselves to do Java, rather than finding a need or desire to experiment with Java;
Jun 27 19:21:08 <sumitc>	tuxmaniac, sorry, that was for mbuf
Jun 27 19:21:44 <sumitc>	mbuf, colleges in India force students to go through outdated ideas
Jun 27 19:21:52 <sumitc>	mbuf, often against their wishes
Jun 27 19:21:54 <parthachowdhury>	!
Jun 27 19:22:02 <sumitc>	mbuf, and often unnecessary
Jun 27 19:22:04 <SkyRocknRoll>	sumitc: i agree with you fully
Jun 27 19:22:30 <mbuf>	sumitc: sure, one can do that for the sake of the college; but one should also do things that are necessary to become an engineer;
Jun 27 19:22:34 <mbuf>	parthachowdhury: shoot
Jun 27 19:22:55 <mbuf>	sumitc: vomiting in exam or mugging up for the college is not the answer or the methodology of learning;
Jun 27 19:23:01 <parthachowdhury>	what do we need to prioritise ?
Jun 27 19:23:11 <mbuf>	sumitc: one has to understand the basics and represent that in a nice manner in the exam;
Jun 27 19:23:27 <mbuf>	parthachowdhury: prioritize your day-to-day tasks;
Jun 27 19:23:42 <parthachowdhury>	our need to learn java or our passion to learn oss technology ?
Jun 27 19:23:46 <mbuf>	sumitc: last minute studying, going through last few years exam papers is not the answer, I am afraid;
Jun 27 19:24:11 <mbuf>	parthachowdhury: Java is OSS;
Jun 27 19:24:23 <sumitc>	mbuf, absolutely correct. But the examiners themselves often depend on rote learning while examining papers. They never say, " read the basics". They say," Go through my note and mug every point"
Jun 27 19:24:37 <parthachowdhury>	!
Jun 27 19:25:11 <mbuf>	sumitc: I am sorry to quote 'me' as an example, but, I never studied before the exams, and I still got good grades;
Jun 27 19:25:40 <mbuf>	sumitc: I only presented content in a presentable manner in the paper, and that was good enough;
Jun 27 19:25:42 <mbuf>	parthachowdhury: shoot!
