Jun 28 17:03:14 <kushal>	ok starting today's session
Jun 28 17:03:20 <kushal>	Roll Call please 
Jun 28 17:03:31 <sayan>	Sayan Chowdhury
Jun 28 17:03:51 <pranay_09>	Pranay Agarwal
Jun 28 17:04:20 <koustava_>	koustava goswami
Jun 28 17:04:23 <praveenkumar>	praveenkumar
Jun 28 17:04:29 <kushal>	ok
Jun 28 17:04:51 <kushal>	read the mail in the list and fill the page accordingly 
Jun 28 17:05:02 <kushal>	only praveenkumar here already did it
Jun 28 17:05:35 <koustava_>	kushal<!
Jun 28 17:06:22 <kushal>	koustava_, yes
Jun 28 17:06:29 <koustava_>	*/nick koustava* without *
Jun 28 17:06:39 <koustava_>	which list?
Jun 28 17:06:47 <kushal>	dgplug mailing list 
Jun 28 17:07:00 *	agarwalashish05 (73f2d6f9@gateway/web/freenode/ip.115.242.214.249) has joined #dgplug
Jun 28 17:07:09 <kushal>	agarwalashish05, you are late 
Jun 28 17:07:19 <agarwalashish05>	sorry had power cut
Jun 28 17:07:25 <kushal>	ok
Jun 28 17:07:41 <kushal>	agarwalashish05, also filled the page 
Jun 28 17:08:13 <kushal>	last time I gave you the logs for vi
Jun 28 17:08:25 <kushal>	who finished reading and testing them ?
Jun 28 17:09:15 *	rohit1988 (3b5dce75@gateway/web/freenode/ip.59.93.206.117) has joined #dgplug
Jun 28 17:09:17 <agarwalashish05>	read some of them but not all
Jun 28 17:09:17 <koustava_>	kushal,I have already filled that up
Jun 28 17:09:42 <praveenkumar>	kushal, i think its shell and vim both.
Jun 28 17:09:55 <kushal>	koustava_, no you did not , check your mails
Jun 28 17:10:07 <kushal>	praveenkumar, yes, but for shell saturday night was the time
Jun 28 17:10:18 <praveenkumar>	kushal, yeah
Jun 28 17:10:25 <kushal>	agarwalashish05, if you don't finish on time then you will be late 
Jun 28 17:10:34 <agarwalashish05>	i will do it by taday
Jun 28 17:10:39 <agarwalashish05>	today
Jun 28 17:11:00 <rohit1988>	hi!kushal
Jun 28 17:11:43 <kushal>	rohit1988, you are late 
Jun 28 17:12:14 <rohit1988>	i know! sorry
Jun 28 17:12:14 <kushal>	I also asked people to read http://dgplug.org/irclogs/kushal_fhs_class.log 
Jun 28 17:12:18 <kushal>	anyone did ?
Jun 28 17:12:34 <kushal>	any questions on vim ?
Jun 28 17:12:47 <koustava_>	kushal,I have read
Jun 28 17:12:53 <kushal>	any question 
Jun 28 17:13:28 <praveenkumar>	kushal, me too these are basics and all doubts already cleared in logs itself
Jun 28 17:13:29 <koustava_>	kushal,in root there nothing is appearing after ls -
Jun 28 17:13:48 <kushal>	you people are supposed to type ! and wait before talking
Jun 28 17:14:16 <kushal>	koustava_, can not understand , please say it again
Jun 28 17:14:41 <praveenkumar>	koustava_, their is no option for 'ls -' i think its 'cd -' .
Jun 28 17:15:13 <koustava_>	kushal,when I having cd /root
Jun 28 17:15:27 <koustava_>	kushal,then trying to have ls -
Jun 28 17:15:39 <koustava_>	kushal,nothing is showing
Jun 28 17:15:44 <kushal>	koustava_,  first of all you can not do cd /root unless you are root
Jun 28 17:16:02 <kushal>	also the command is cd - to back to the previous directory 
Jun 28 17:16:05 <kushal>	not ls -
Jun 28 17:16:08 <koustava_>	kushal,I am in root
Jun 28 17:16:22 <kushal>	koustava_, you are using root account ?
Jun 28 17:16:28 <koustava_>	kushal,yes
Jun 28 17:16:32 <kushal>	I mean you are logged in as root ?
Jun 28 17:16:37 <kushal>	koustava_, that is very bad
Jun 28 17:16:53 <kushal>	create a simple user account 
Jun 28 17:16:55 <kushal>	and use that 
Jun 28 17:17:12 <kushal>	you are not supposed to use root account for the normal usage
Jun 28 17:17:19 <kushal>	s/normal/regular
Jun 28 17:17:25 <koustava_>	kushal,no I was writing the command only in root
Jun 28 17:17:46 <kushal>	what do you mean by "writing the command only in root"
Jun 28 17:17:48 <kushal>	?
Jun 28 17:17:55 <koustava_>	kushal,I always use normal account
Jun 28 17:18:23 <koustava_>	kushal,when I was working in /tmp
Jun 28 17:18:35 <koustava_>	kushalm,then coming to root
Jun 28 17:18:44 <kushal>	 /root ?
