Jul 05 17:07:56 <kushal>	ok session starts
Jul 05 17:07:58 <kushal>	roll call
Jul 05 17:08:07 <Rana_amit>	rana amit
Jul 05 17:08:07 <samxan>	Samikshan Bairagya
Jul 05 17:08:13 <koustava>	Koustava Goswami
Jul 05 17:08:28 <kushal>	thanks 
Jul 05 17:08:43 <kushal>	mkpai, is our guest lecturer today 
Jul 05 17:08:51 <wyuka>	Tirtha Chatterjee
Jul 05 17:09:02 <bamachrn>	Bamacharan Kundu
Jul 05 17:09:19 <kushal>	mkpai, stage is yours , you can start 
Jul 05 17:09:27 <mkpai>	Hello
Jul 05 17:09:35 <Rana_amit>	hi mkpai
Jul 05 17:09:40 <samxan>	Hello
Jul 05 17:09:41 <mkpai>	I plan to take you through the basics of Perl
Jul 05 17:09:44 <koustava>	hello
Jul 05 17:09:54 <wyuka>	mkpai, hello
Jul 05 17:10:25 <mkpai>	Perl: Practical Extraction and Reporting Language
Jul 05 17:10:32 <mkpai>	It was created by Larry Wall to work around the limitations of traditional
Jul 05 17:10:39 <mkpai>	UNIX text processing tools like awk, sed and grep.
Jul 05 17:10:54 <mkpai>	it evolved into a full programming language
Jul 05 17:11:13 <mkpai>	with a distinct philosophy :)
Jul 05 17:11:21 <mkpai>	Larry was trained to be a missionary, and studied linguistics. These
Jul 05 17:11:26 <mkpai>	influences are seen in his book "Programming Perl", which is also called
Jul 05 17:11:32 <mkpai>	the "camel book" because O'Reilly put a camel on the cover.
Jul 05 17:11:55 <mkpai>	This is a really good book even for non-programmers
Jul 05 17:12:01 <mkpai>	The first edition of the camel book has hilarious sections on how
Jul 05 17:12:08 <mkpai>	Biblical characters from the Old Testament could use Perl to solve their
Jul 05 17:12:14 <mkpai>	problems. Larry actively promotes the attitude of not taking oneself
Jul 05 17:12:19 <mkpai>	seriously. The basic attitude of the Perl programmer is "TIMTOWTDI"
Jul 05 17:12:26 <mkpai>	or There Is More Than One Way To Do It.
Jul 05 17:12:37 <mkpai>	This is in marked contrast to most programming languages where there is
Jul 05 17:12:42 <mkpai>	one correct way to do things and all other ways are wrong. Larry feels
Jul 05 17:12:47 <mkpai>	that if you can complete your assignment before your boss fires you,
Jul 05 17:12:52 <mkpai>	your solution is correct :)
Jul 05 17:12:58 <mkpai>	so
Jul 05 17:13:07 <mkpai>	thats why theres more than one way to do it
Jul 05 17:13:18 <mkpai>	Larry also says that a great programmer should have 3 virtues
Jul 05 17:13:24 <mkpai>	i. Laziness
Jul 05 17:13:29 <mkpai>	this means
Jul 05 17:13:34 <mkpai>	   Write code that can be re-used
Jul 05 17:13:42 <mkpai>	and also
Jul 05 17:13:44 <mkpai>	   Write code that can be read and understood
Jul 05 17:13:56 <mkpai>	ii. Impatience
Jul 05 17:14:01 <mkpai>	    Write programs that anticipate needs - not just react to needs
Jul 05 17:14:08 <mkpai>	iii. Hubris
Jul 05 17:14:24 <mkpai>	   which is excessive pride
Jul 05 17:14:26 <mkpai>	     Write programs that you will be proud of showing others
Jul 05 17:14:34 <mkpai>	BUT
Jul 05 17:14:39 <mkpai>	Its OK if you miss one or two :)
Jul 05 17:14:58 *	praveenkumar has quit (Ping timeout: 252 seconds)
Jul 05 17:14:59 <mkpai>	Brief intro to how I started to use Perl
Jul 05 17:15:08 <mkpai>	I came to Perl for reasons very similar to Larry Wall's. I was writing
Jul 05 17:15:13 <mkpai>	an application in which I needed to open different files based on
Jul 05 17:15:18 <mkpai>	different conditions. I couldn't do that in awk. Later I found that I
Jul 05 17:15:26 <mkpai>	could express my ideas quickly and correctly in Perl, so I stayed.
Jul 05 17:15:57 <mkpai>	with the philosophy out of the way, lets get to the fun bit
Jul 05 17:16:26 <mkpai>	any questions so far ? lets wait for 1 minute before proceeding ...
Jul 05 17:17:26 <samxan>	mkpai, no.
Jul 05 17:17:37 <mkpai>	ok, so we'll go on
Jul 05 17:17:47 <mkpai>	The mandatory Hello World program
Jul 05 17:17:58 <mkpai>	please run the command
Jul 05 17:18:14 <mkpai>	which perl
Jul 05 17:18:18 <mkpai>	in a terminal
Jul 05 17:18:23 <mkpai>	do you get
Jul 05 17:18:27 <mkpai>	/usr/bin/perl
Jul 05 17:18:28 <mkpai>	?
Jul 05 17:18:39 <bamachrn>	yes
Jul 05 17:18:41 <Rana_amit>	yes mkpai
Jul 05 17:18:44 <wyuka>	mkpai, yes
Jul 05 17:18:49 <samxan>	yes mkpai
Jul 05 17:18:51 <mkpai>	ah ok
