Jul 01 22:40:44 <kushal>	<--CLASS STARTED-->
Jul 01 22:40:57 *	kushal has changed the topic to:  Welcome to Linux User's Group of Durgapur | Mailing list at http://lists.dgplug.org/listinfo.cgi/users-dgplug.org | Old classes http://www.dgplug.org/irclogs/ | DOWNLOAD THIS http://www.shakthimaan.com/downloads/glv/presentations/i-want-2-do-project-tell-me-wat-2-do.pdf | 10:30pm rishi on shell commands (POSTPONED TO TOMORROW) Now FHS -- Kushal from 10:40pm | Download http://www.pathname.com/fhs/pub/fhs-2.3.pdf | <--CLASS STARTED -->
Jul 01 22:41:01 <kushal>	Roll call
Jul 01 22:41:08 <amrita>	amrita mukherjee
Jul 01 22:41:12 *	ecntrk_ (n=root@117.194.1.27) has joined #dgplug
Jul 01 22:41:13 <arpita>	arpita kapoor
Jul 01 22:41:17 <susenj>	Neeraj Kumar
Jul 01 22:41:24 <ecntrk_>	Debmalya Sinha
Jul 01 22:41:30 *	Soumya (n=Soumya@117.192.5.26) has joined #dgplug
Jul 01 22:41:34 <aritra>	Aritra Bose
Jul 01 22:41:47 <ria>	ria das
Jul 01 22:41:48 <Subhodip_>	subhodip biswas
Jul 01 22:42:00 <kushal>	Subhodip_, !!
Jul 01 22:42:04 <Kishan_>	kishan goyal
Jul 01 22:42:05 <deepak>	deepak kumar
Jul 01 22:42:07 <PraMS>	pramit roychowdhury
Jul 01 22:42:12 <Atanu_bera>	Atanu Bera
Jul 01 22:42:29 <Subhodip_>	kushal, just wanted to attend a class
Jul 01 22:42:30 <chiks>	chikan banerjee
Jul 01 22:42:32 <Debashree>	debashree banerjee
Jul 01 22:42:34 <kushal>	Subhodip_, :)
Jul 01 22:42:43 <pushkal>	Pushkal Srivastava
Jul 01 22:43:16 <kushal>	ok, tonight we are doing to discuss about FHS -- Filesystem Hierarchy Standard
Jul 01 22:43:32 <kushal>	many times you saw your Linux system's folders 
Jul 01 22:43:43 <kushal>	they look different than Windows systems
Jul 01 22:44:16 <kushal>	Our tonight's discussion will help you to understand this structure 
Jul 01 22:44:30 <kushal>	please type ! when you feel to ask anything 
Jul 01 22:44:35 <kushal>	so
Jul 01 22:44:44 *	Subhodip has quit (Read error: 110 (Connection timed out))
Jul 01 22:44:49 <kushal>	The main directory is /    
Jul 01 22:44:56 <mavu>	kushal: i missed the roll call
Jul 01 22:45:05 <mavu>	Satya komaragiri
Jul 01 22:45:16 <kushal>	which we call "root directory" or root folder 
Jul 01 22:45:25 <kushal>	or root filesystem 
Jul 01 22:45:45 <kushal>	This is the main part of the file sytem 
Jul 01 22:45:47 *	rtnpro (n=rtnpro@121.241.211.243) has joined #dgplug
Jul 01 22:45:49 <kushal>	* system
Jul 01 22:46:01 <kushal>	We need that for booting the system 
Jul 01 22:46:49 <kushal>	sometimes for changing or reconfiguring the system
Jul 01 22:46:58 <kushal>	everyone please open a terminal 
Jul 01 22:47:08 <kushal>	now do cd /
Jul 01 22:47:09 *	techno_freak has quit ("Leaving")
Jul 01 22:47:22 <kushal>	and see what is there ?
Jul 01 22:48:05 <kushal>	you will find some folders there 
Jul 01 22:48:10 <rtnpro>	Ratnadeep
Jul 01 22:48:23 <rtnpro>	Ratnadeep Debnath
Jul 01 22:48:36 <kushal>	Now we are going through these folders to know more about them 
Jul 01 22:48:48 <kushal>	first is /bin 
Jul 01 22:49:02 <ria>	!
Jul 01 22:49:09 <kushal>	This folder contains all commands to be used by all users
Jul 01 22:49:11 <kushal>	ria, yes 
Jul 01 22:49:18 <ria>	kushal, you did not say to ls
Jul 01 22:49:28 <ria>	and said you will see some folders thre
Jul 01 22:49:33 <ria>	*there
Jul 01 22:49:42 <kushal>	ria, please scroll back and see what I wrote 
Jul 01 22:49:43 <ria>	you just said cd /
Jul 01 22:49:56 <susenj>	!
Jul 01 22:49:58 <ria>	kushal, i still dont find
Jul 01 22:50:04 <aritra>	!
Jul 01 22:50:07 <kushal>	ria, please read what I wrote and then speak 
Jul 01 22:50:15 <kushal>	susenj, yes please 
Jul 01 22:50:17 <susenj>	is there a space between cd &/?
Jul 01 22:50:20 <ria>	<kushal> now do cd /
Jul 01 22:50:31 <kushal>	ria, <kushal> and see what is there ? 
Jul 01 22:50:33 <ria>	* techno_freak has quit ("Leaving")
Jul 01 22:50:33 <ria>	<kushal> and see what is there ?
Jul 01 22:50:33 <ria>	<kushal> you will find some folders there
Jul 01 22:50:46 <kushal>	ria, DON"T FOLLD THE CHANNEL 
Jul 01 22:50:53 <kushal>	FLOOD 
Jul 01 22:51:08 <kushal>	susenj, you learned the cd command last day 
Jul 01 22:51:16 <kushal>	susenj, use your brain 
Jul 01 22:51:32 *	rangeen (i=sherry@220.226.76.24) has joined #dgplug
Jul 01 22:51:37 <ecntrk_>	!
Jul 01 22:51:42 <kushal>	ria, and btw, we are not doing spoon feeding to the kids here
Jul 01 22:51:48 <kushal>	aritra, yes
Jul 01 22:51:50 <aritra>	[aritra@desktop ~]$ cd /
Jul 01 22:51:50 <aritra>	[aritra@desktop /]$
Jul 01 22:51:58 <kushal>	yes ?
Jul 01 22:52:08 <kushal>	aritra, what is your question ?
Jul 01 22:52:09 <aritra>	am getting this<eof>
Jul 01 22:52:13 <kushal>	aritra, yes 
Jul 01 22:52:21 <Prakhar>	kushal, i'm in. sorry for interruption. carry on.
Jul 01 22:52:30 <aritra>	you said about folders,
Jul 01 22:52:36 <kushal>	aritra, then i asked you to see what is there in there 
Jul 01 22:52:39 <arpita>	I am getting the same thing as aritra
Jul 01 22:52:46 <aritra>	am not getting those?<eof>
Jul 01 22:52:46 <kushal>	aritra, aritra, yes, USE YOUR BRAIN 
Jul 01 22:52:58 *	amrita_ (n=amrita@117.201.97.97) has joined #dgplug
Jul 01 22:52:58 <kushal>	aritra, have you tried? I can not see that 
Jul 01 22:53:09 <kushal>	ecntrk_, yes
Jul 01 22:53:11 <ecntrk_>	you told to do cd / again? I got into bin and then again returned into root...
Jul 01 22:53:14 <ria>	kushal, i dont see folders by just doing cd /
Jul 01 22:53:15 <ria>	kushal, someone even pmed me and said cant see folders
Jul 01 22:53:16 <ria>	sorry to interrupt
