Jul 20 19:40:03 <kushal>	<--SESSION STARTED-->
Jul 20 19:40:08 <kushal>	Roll Call 
Jul 20 19:40:30 <ria>	Ria Das
Jul 20 19:40:33 <amrita>	amrita mukherjee
Jul 20 19:40:51 <kishanGoyal>	kishan goyal
Jul 20 19:41:19 *	Debashree (n=Debashre@117.201.96.217) has joined #dgplug
Jul 20 19:41:25 <arpita>	arpita kapoor
Jul 20 19:41:45 <sunny_slls>	Sunny Sharma
Jul 20 19:41:52 <Debashree>	debashree banerjee
Jul 20 19:42:20 <kushal>	ok, moving ahead 
Jul 20 19:42:47 <kushal>	Answer for the last day's problem 
Jul 20 19:42:59 <ria>	kushal, let me paste
Jul 20 19:43:09 <kushal>	people who could not solve it, please paste upto what ever you did 
Jul 20 19:43:28 <bose_aritra>	aritra bose
Jul 20 19:44:37 *	Debashree_ (n=Debashre@117.201.97.34) has joined #dgplug
Jul 20 19:44:48 <kushal>	links please 
Jul 20 19:44:49 <ria>	kushal, http://rafb.net/p/kViANW81.html
Jul 20 19:45:14 <ria>	kushal, i corrected the small mistake just after you leaved
Jul 20 19:45:31 <ria>	*left
Jul 20 19:45:45 *	mether (n=sundaram@nat/redhat-in/x-b31369098a8860a7) has joined #dgplug
Jul 20 19:46:00 <kushal>	ria, let me check the code 
Jul 20 19:46:04 <kushal>	others ?
Jul 20 19:46:07 <ria>	kushal, ya sure
Jul 20 19:46:13 <ria>	kushal, its working
Jul 20 19:46:38 <kushal>	ria, almost 
Jul 20 19:46:46 <kushal>	ria, try with TCS.NS
Jul 20 19:46:48 <kushal>	:p
Jul 20 19:46:51 <ria>	ok
Jul 20 19:47:13 <ria>	kushal, working
Jul 20 19:47:17 <ria>	with tcs
Jul 20 19:47:18 <ria>	:)
Jul 20 19:47:24 <kushal>	ria, nope
Jul 20 19:47:29 <kushal>	ria, check the webpage 
Jul 20 19:47:36 <kushal>	ria, the last trade value 
Jul 20 19:47:49 <kushal>	ria, and what your code is showing 
Jul 20 19:47:49 <ria>	ya i think the total number is not given
Jul 20 19:47:53 <kushal>	ria, yes
Jul 20 19:48:01 <ria>	the decimal
Jul 20 19:48:10 <kushal>	ria, that means you need a better way to fetch the data 
Jul 20 19:48:20 <ria>	kushal, i can print untill < is encountered
Jul 20 19:48:29 <ria>	i think that will work
Jul 20 19:48:30 <kushal>	ria, that you decide :p
Jul 20 19:48:35 <ria>	ya
Jul 20 19:48:36 <ria>	ok
Jul 20 19:48:48 <ria>	kushal, but that way it will work i think
Jul 20 19:48:50 <kushal>	amrita, arpita Debashree_ kishanGoyal sunny_slls bose_aritra ?
Jul 20 19:49:05 <kushal>	ria, don't think so, try and see :)
Jul 20 19:49:28 <kushal>	amrita, arpita Debashree_ kishanGoyal sunny_slls bose_aritra are you people here ?
Jul 20 19:49:32 <amrita>	kushal, i showed you that day the part which i completed
Jul 20 19:49:39 <ria>	kushal, the decimal point does not make much difference, though not exact :)
Jul 20 19:49:44 <kushal>	amrita, ok
Jul 20 19:49:45 <ria>	kushal, ok will try
Jul 20 19:49:54 <kishanGoyal>	kushal: i missed last class...im trying now..
Jul 20 19:50:05 <amrita>	kushal, after that i got dc and couldn't understand the rest
Jul 20 19:50:06 <Debashree_>	kushal, i can't understand the last part
Jul 20 19:50:08 <arpita>	kushal, i am not very clear with all this am trying
Jul 20 19:50:50 <kushal>	Debashree, tell me which part ?
Jul 20 19:51:06 <amrita>	kushal, !
Jul 20 19:51:11 <kushal>	amrita, yes
Jul 20 19:51:14 <arpita>	kushal, last two lines
Jul 20 19:51:18 <Debashree_>	kushal, how the calculation is being done.
Jul 20 19:51:25 <kushal>	arpita, which last two lines ?
Jul 20 19:51:30 <amrita>	kushal, you told us to show the last trade value
Jul 20 19:51:30 <kushal>	Debashree, calculation ?
Jul 20 19:51:34 <kushal>	amrita, yes
Jul 20 19:51:47 <amrita>	kushal, after link.read()
Jul 20 19:51:57 <Debashree_>	kushal, means how 52 is coming?
Jul 20 19:52:14 <amrita>	kushal, how to fetch the actal value?
Jul 20 19:52:16 <kushal>	Debashree, that is something ria figured out, 
Jul 20 19:52:29 <kushal>	amrita, that is the problem you should solve :p
Jul 20 19:52:35 <Debashree_>	kushal, yes how did she do it?
Jul 20 19:52:43 <ria>	Debashree, you can find a better way
Jul 20 19:52:43 <arpita>	kushal, can't get last three lines of ria's program
Jul 20 19:53:00 <kushal>	ria, can you explain all how you did that 
Jul 20 19:53:03 <arpita>	kushal, last two i mean
Jul 20 19:53:19 <Debashree_>	ria, please explain
Jul 20 19:53:25 <kushal>	http://rafb.net/p/kViANW81.html
Jul 20 19:53:45 <ria>	arpita, did you understand what will be the output if we print data?
Jul 20 19:53:50 <ria>	Debashree, ^^^
Jul 20 19:54:27 <ria>	arpita, Debashree ?
Jul 20 19:54:32 <Debashree_>	ria, it will only give the latest values?
Jul 20 19:54:32 <arpita>	ria, yes it prints all details
Jul 20 19:54:48 <ria>	data gives the page source
Jul 20 19:55:11 <ria>	the CSS and HTML all this of the page
Jul 20 19:55:17 <ria>	you go to the site
Jul 20 19:55:33 <ria>	and enter a company name and get the site
Jul 20 19:55:41 <ria>	wait
Jul 20 19:55:58 <ria>	i did WIT
Jul 20 19:56:20 <ria>	now go to view
Jul 20 19:56:32 <amrita>	kushal, can you give the site regarding modules?
Jul 20 19:56:41 <ria>	and click on view page source
Jul 20 19:56:48 <kushal>	amrita, docs.python.org 
Jul 20 19:56:53 <ria>	http://finance.yahoo.com/q?s=WIT
Jul 20 19:57:11 <ria>	go here and do view->view page source
Jul 20 19:57:21 <ria>	Debashree, arpita done?
Jul 20 19:57:28 <arpita>	yes
Jul 20 19:57:36 <ria>	ok
Jul 20 19:57:41 <arpita>	what is it exactly showing in view page source???
Jul 20 19:57:59 <ria>	thats the CSS, i mean how the page is designed
Jul 20 19:58:08 <arpita>	o.k
Jul 20 19:58:19 <ria>	see if you print data in your program you will get this
Jul 20 19:58:23 <ria>	the page source
Jul 20 19:58:25 <ria>	ok?
Jul 20 19:58:30 <kushal>	arpita, every web page you see is written in a language called HTML, so what you see is the HTML source 
Jul 20 19:58:47 <arpita>	ria,o.k
Jul 20 19:58:56 <ria>	now you come down
Jul 20 19:59:06 <ria>	you will find last trade
Jul 20 19:59:22 <ria>	use '/'
Jul 20 19:59:36 <ria>	and then type last trade to directly go there
Jul 20 19:59:40 <ria>	arpita, ok?
Jul 20 19:59:58 <ria>	i mean press '/'
Jul 20 20:00:11 <ria>	did you get last trade?
Jul 20 20:00:14 <ria>	arpita, ?
Jul 20 20:00:30 <kishanGoyal>	yes...got it
Jul 20 20:00:33 <amrita>	ria, !
Jul 20 20:00:43 <ria>	amrita, ask
Jul 20 20:01:06 <ria>	arpita, should i proceed?
Jul 20 20:01:06 <amrita>	ria, on going to the link we are able to see the last trade value
Jul 20 20:01:12 <sunny_slls>	ria,!
Jul 20 20:01:13 <ria>	ya
Jul 20 20:01:23 <arpita>	ria,i can't see the value
Jul 20 20:01:39 <ria>	arpita, no need to see the value
