Jul 22 19:00:14 <kushal>	<--SESSION STARTED-->
Jul 22 19:00:17 <kushal>	Roll Call
Jul 22 19:00:25 <amrita>	amrita mukherjee
Jul 22 19:00:32 <kishanGoyal>	kishan goyal
Jul 22 19:00:40 <Kkhushi>	khushbu mohta
Jul 22 19:00:50 <arpita>	kushal, right now i am trying to do everything again but on typing   svn co http://dgplug.org/training
Jul 22 19:00:51 <arpita>	   svn: PROPFIND request failed on '/training'
Jul 22 19:00:51 <arpita>	svn: PROPFIND of '/training': Could not resolve hostname `dgplug.org': Temporary failure in name resolution (http://dgplug.org)
Jul 22 19:00:58 <arpita>	it is showing the above error
Jul 22 19:01:29 <kushal>	amrita, you ever heard about rafb ?
Jul 22 19:01:42 <kushal>	arpita, next time you will do it, I will kick you out 
Jul 22 19:01:58 <arpita>	kushal, sorry
Jul 22 19:02:01 <kushal>	arpita, btw, that error means your DNS server can not resolve dgplug.org 
Jul 22 19:02:29 <arpita>	kushal, but yesterday it had worked fine
Jul 22 19:02:36 <arpita>	kushal, why not now?
Jul 22 19:02:59 <kushal>	arpita, ask your ISP 
Jul 22 19:04:21 *	amrita_ (n=amrita@117.201.97.159) has joined #dgplug
Jul 22 19:04:27 *	amrita_ has quit (Client Quit)
Jul 22 19:04:58 <kushal>	so, many of you still never checked in anything 
Jul 22 19:07:36 <kushal>	any question ?
Jul 22 19:09:32 *	arpita has quit ("Leaving")
Jul 22 19:09:41 <kushal>	ok moving on 
Jul 22 19:09:43 <amrita>	kushal, !
Jul 22 19:09:46 <kushal>	amrita, yhes
Jul 22 19:09:47 <kushal>	yes
Jul 22 19:10:10 <amrita>	kushal, yesterday when i was trying to fix the problem
Jul 22 19:10:35 <kushal>	amrita, you never read what I typed here 
Jul 22 19:10:53 <amrita>	kushal, what?
Jul 22 19:11:00 <kushal>	amrita, nothing , please go on 
Jul 22 19:11:45 <amrita>	kushal, i had the file prime3.c in a folder named "files" in my home
Jul 22 19:12:09 <kushal>	yes
Jul 22 19:12:20 <amrita>	kushal, when i did svn add prime3.c from the file folder it showed some error
Jul 22 19:12:40 <amrita>	kushal, http://rafb.net/p/MijPZ951.html
Jul 22 19:13:08 <amrita>	kushal, i could not use the command svn add
Jul 22 19:13:09 <kushal>	amrita, yes
Jul 22 19:13:29 <kushal>	amrita, yes as "files" directory is not under any svn repo 
Jul 22 19:13:39 <kushal>	amrita, you can not add anything randomly to the repo 
Jul 22 19:13:58 <kushal>	svn command will work for the things only under repo
Jul 22 19:14:16 <kushal>	amrita, this case , "training" directory 
Jul 22 19:14:27 <amrita>	kushal, ok understood
Jul 22 19:14:53 <kushal>	ok
Jul 22 19:15:01 <kushal>	anything more ?
Jul 22 19:15:24 <kushal>	now a funny part of svn command 
Jul 22 19:15:52 <kushal>	I need two volunteers who are having some file under their folder 
Jul 22 19:16:45 <kushal>	anyone ?
Jul 22 19:17:40 <kushal>	so let me choose 
Jul 22 19:17:51 <kushal>	amrita, and Kkhushi 
Jul 22 19:18:08 <kushal>	Kkhushi, ping
Jul 22 19:18:17 <Kkhushi>	kushal, ok
Jul 22 19:18:30 <amrita>	kushal, i have only one file under my folder
Jul 22 19:18:37 <kushal>	Kkhushi, please go to amrita directory under trunk
Jul 22 19:19:01 <Kkhushi>	kushal, done
Jul 22 19:19:09 <kushal>	Kkhushi, then add some random line in the prime3.c 
Jul 22 19:19:12 <kushal>	and commit 
Jul 22 19:21:18 <kushal>	Kkhushi, ?
Jul 22 19:21:45 *	arpita (n=arpita@117.201.97.0) has joined #dgplug
Jul 22 19:21:52 <kushal>	Kkhushi, you there ?
Jul 22 19:22:00 <kushal>	can anyone else do that ?
Jul 22 19:22:02 <kushal>	please 
Jul 22 19:22:07 <Kkhushi>	kushal, dont i have to add it again
Jul 22 19:22:15 <kushal>	Kkhushi, no, it is already added 
Jul 22 19:22:21 <kushal>	Kkhushi, just commit 
Jul 22 19:23:21 <Kkhushi>	kushal, done
Jul 22 19:23:30 <kushal>	everyone please do svn up
Jul 22 19:25:06 <kushal>	Kkhushi, eh, you don't know how to mess with other's code :p
Jul 22 19:25:27 <kushal>	I also made some changes 
Jul 22 19:25:57 <kushal>	current revision is 30
Jul 22 19:26:07 <arpita>	 
Jul 22 19:26:07 <arpita>	<arpita> one problem that i was not facing yesterday....on typing  svn co http://dgplug.org/training in terminal it is showing output checked out revision
Jul 22 19:26:07 <arpita>	< can you please help?
Jul 22 19:26:45 <kushal>	amrita, I can not see any error 
Jul 22 19:26:59 *	ecntrk (n=ecntrk_@117.194.1.185) has joined #dgplug
Jul 22 19:27:18 <arpita>	kushal, no we should get the training/trunk written that is not visible
Jul 22 19:27:22 <amrita>	kushal, i think i need to change my name:p
Jul 22 19:27:31 <kushal>	amrita, oh
Jul 22 19:27:52 <kushal>	arpita, can't you see any directory called training there 
Jul 22 19:28:02 <kushal>	arpita, please show us the actual error 
Jul 22 19:28:29 <kushal>	btw, everyone do svn up
Jul 22 19:28:48 <arpita>	kushal, yes i am able to enter into training/trunk now
Jul 22 19:29:09 <kushal>	svn up done 
Jul 22 19:29:19 <kushal>	?
Jul 22 19:29:23 <kushal>	yes/no ?
Jul 22 19:29:50 <Kkhushi>	yes
Jul 22 19:30:00 <kishanGoyal>	yes
Jul 22 19:31:02 <kushal>	now think a case
Jul 22 19:31:12 <kushal>	we are telling amrita you did wrong 
Jul 22 19:31:23 <kushal>	and she is telling no she never made those changes 
Jul 22 19:31:38 <kushal>	to find out who made which change use the command 
Jul 22 19:31:45 <kushal>	svn blame filename 
Jul 22 19:31:48 <kushal>	try and see
Jul 22 19:33:06 <viggy_prabhu>	kushal: i got this when i did svn up
Jul 22 19:33:15 <viggy_prabhu>	"Skipped '.'
Jul 22 19:33:16 <viggy_prabhu>	"
Jul 22 19:33:27 <kushal>	viggy_prabhu, use rafb.net please 
Jul 22 19:33:35 <viggy_prabhu>	oh sorry
Jul 22 19:33:50 <kushal>	viggy_prabhu, yes, as you are not inside any directory which is under svn control 
Jul 22 19:34:03 <kushal>	what you can see from svn blame ?
Jul 22 19:36:13 *	arpita has quit ("Leaving")
Jul 22 19:36:52 <Kkhushi>	kushal, svn blame shows the name of the person who made the changes along with eachline
Jul 22 19:37:08 <kushal>	Kkhushi, yes
Jul 22 19:37:16 <kushal>	amrita, you can also check the logs
Jul 22 19:37:18 <kushal>	by 
Jul 22 19:37:24 <kushal>	svn log prime3.c 
Jul 22 19:37:30 *	Debashree (n=Debashre@117.201.97.18) has joined #dgplug
Jul 22 19:39:38 <viggy_prabhu>	kushal: !
Jul 22 19:39:42 <kushal>	viggy_prabhu, yes please
Jul 22 19:40:07 <viggy_prabhu>	kushal: yesterday when i had last checked out, the revision number was 11
Jul 22 19:40:20 <viggy_prabhu>	kushal: today when i checked out, the revision number is 11
Jul 22 19:40:21 <kushal>	yes
Jul 22 19:40:24 <viggy_prabhu>	sorry, 30
Jul 22 19:40:27 <kushal>	yes
Jul 22 19:40:34 <kushal>	viggy_prabhu, no need to check out everytime
Jul 22 19:40:43 *	mintos (n=mvaliyav@nat/redhat-in/x-e539dd19d3a47071) has joined #dgplug
Jul 22 19:40:48 <kushal>	viggy_prabhu,  do a svn up in the old checkout itself 
Jul 22 19:40:50 <viggy_prabhu>	is there any file which keeps record of this
Jul 22 19:40:57 <kushal>	viggy_prabhu, yes, svn itself 
Jul 22 19:41:03 *	ecntr1 (n=ecntrk_@117.194.1.153) has joined #dgplug
Jul 22 19:41:08 <ecntr1>	kushal: !
Jul 22 19:41:17 <viggy_prabhu>	no but i want to know the revision number which i have checked out
Jul 22 19:41:17 *	Debashree has quit (Client Quit)
Jul 22 19:41:18 <kushal>	ecntr1, yes please 
Jul 22 19:41:22 <ecntr1>	http://rafb.net/p/ljBWP060.html
Jul 22 19:41:29 <kushal>	viggy_prabhu, do a svn log 
Jul 22 19:42:27 <kishanGoyal>	 kushal i was reading the yesterday's logs ..(missed last class)..please see this error...=   http://rafb.net/p/UR2w1l69.html
Jul 22 19:42:46 <kushal>	kishanGoyal, use ! from next time
Jul 22 19:42:53 *	amrita_ (n=amrita@117.201.96.111) has joined #dgplug
Jul 22 19:42:58 <viggy_prabhu>	kushal: that gave me the changes made in each and every revisions
Jul 22 19:42:59 <kishanGoyal>	sorry..
Jul 22 19:43:12 <viggy_prabhu>	kushal: but i want only those which were made in my computer
Jul 22 19:43:18 <kushal>	viggy_prabhu, you can see the last revision 
Jul 22 19:43:19 *	amrita has quit (Nick collision from services.)
Jul 22 19:43:23 <kushal>	viggy_prabhu, means >
Jul 22 19:43:24 <kushal>	?
Jul 22 19:43:26 *	amrita_ is now known as amrita
Jul 22 19:44:32 <viggy_prabhu>	kushal: like is there a file which stores in my computer that 21july revision 11 checked out, 22july revision 30 checked out.....
Jul 22 19:44:43 <ecntr1>	kushal: !
Jul 22 19:44:47 <kushal>	viggy_prabhu, yes
Jul 22 19:44:51 <kushal>	ecntr1, wait 
Jul 22 19:44:54 <ecntr1>	did you see the link?
Jul 22 19:44:59 <kushal>	yes
Jul 22 19:45:07 <ecntr1>	<eof>
Jul 22 19:45:17 <viggy_prabhu>	kushal: which file?
