Jun 28 22:56:00 <kushal>	<--- CLASS STARTED -->
Jun 28 22:56:04 *	kushal has changed the topic to:  Welcome to Linux User's Group of Durgapur | Mailing list at http://lists.dgplug.org/listinfo.cgi/users-dgplug.org | How to write "Hello World!" in gcc http://tv.dgplug.org/ | Vi from 10:55pm By Kushal | <-- CLASS PAUSED --> |
Jun 28 22:56:05 <arpita>	$ means user??
Jun 28 22:56:06 <mobilesuit>	techno_freak, i just need to connect two lan cards in a switch
Jun 28 22:56:07 <techno_freak>	amrita, both?
Jun 28 22:56:11 *	kushal has changed the topic to:  Welcome to Linux User's Group of Durgapur | Mailing list at http://lists.dgplug.org/listinfo.cgi/users-dgplug.org | How to write "Hello World!" in gcc http://tv.dgplug.org/ | Vi from 10:55pm By Kushal | <-- CLASS STARTED --> |
Jun 28 22:56:20 <techno_freak>	ALL SUPPORT Questions LATER!!
Jun 28 22:56:26 <kushal>	techno_freak, :p
Jun 28 22:56:28 *	roni (n=aritra@117.201.96.216) has joined #dgplug
Jun 28 22:56:33 <kushal>	Hi all 
Jun 28 22:56:39 <Soumya>	hi
Jun 28 22:56:41 <mobilesuit>	ok will ask tomorrow then :)
Jun 28 22:56:42 <Subhodip>	kushal, hello
Jun 28 22:56:44 <susenj>	Do you want to ping broadcast?then -b,it shows!Techno_freak
Jun 28 22:56:50 <roni>	kushal, hi
Jun 28 22:56:52 <susenj>	Hello,Kushal
Jun 28 22:56:54 <kushal>	in this session we are going to learn about the editor called vi 
Jun 28 22:57:08 <Prams>	ok
Jun 28 22:57:13 <Soumya>	where's rishi ?
Jun 28 22:57:16 <kushal>	I hope you all understand what is an editor 
Jun 28 22:57:32 *	kushal gives voice to Prakhar
Jun 28 22:57:42 <roni>	you give a prpper idea
Jun 28 22:57:47 *	kushal gives channel operator status to Soumya
Jun 28 22:57:54 <roni>	i mean proper
Jun 28 22:58:00 <Prakhar>	Hi all!
Jun 28 22:58:12 <kushal>	an editor is a software which help you to edit some file 
Jun 28 22:58:22 <kushal>	now there are different kinds of editor 
Jun 28 22:58:34 <kushal>	some for text, some for audio, some for video 
Jun 28 22:59:23 <kushal>	Now, the one we are going to discuss about is Vi (actually vim ) and other good one is emacs 
Jun 28 22:59:41 <kushal>	we will discuss about vim which is newer version of vi 
Jun 28 22:59:45 <kushal>	Vi imroved 
Jun 28 22:59:50 <kushal>	* improved
Jun 28 23:00:10 <kushal>	Now, whoever is on Fedora, vi is an alias to vim 
Jun 28 23:00:18 <mobilesuit>	!
Jun 28 23:00:21 *	techno_freak has quit ("Leaving")
Jun 28 23:00:25 <Prams>	mean?
Jun 28 23:00:29 <kushal>	for the other distros you have to type vim as command 
Jun 28 23:00:33 <kushal>	mobilesuit, yes
Jun 28 23:00:56 <mobilesuit>	on fedora, will vi-minimal package suffice ?
Jun 28 23:01:03 <mobilesuit>	<EOF>
Jun 28 23:01:10 <coolpyro>	Soumya: Im Rishi too :)
Jun 28 23:01:22 <mobilesuit>	on fedora, will vim-minimal package suffice ?
Jun 28 23:01:25 <kushal>	mobilesuit, hopefully 
Jun 28 23:01:26 <mobilesuit>	typo
Jun 28 23:01:40 <kushal>	coolpyro, do you like to be kicked out ?
Jun 28 23:02:01 <kushal>	Prams, see vi and vim are two different commands 
Jun 28 23:02:08 <coolpyro>	Kushal: Oh sorry for that
Jun 28 23:02:17 *	nandy_lost (n=chatzill@59.178.189.146) has joined #dgplug
Jun 28 23:02:22 <mobilesuit>	!
Jun 28 23:02:43 <Prams>	full form of vi
Jun 28 23:02:45 <kushal>	Prams, so, in Fedora if you type vi , actually vim will work through an alias (we will tell later what is an alias )
Jun 28 23:02:49 <Soumya>	ok so we have another one :p , coolpyro
Jun 28 23:03:00 <kushal>	Soumya, shut up please 
Jun 28 23:03:06 <mobilesuit>	!
Jun 28 23:03:10 <kushal>	Prams, it is vi
Jun 28 23:03:13 <kushal>	mobilesuit, yes 
Jun 28 23:03:52 <mobilesuit>	do u need to have /bin/vim present ? i don't have it in vim-minimal<EOF>
Jun 28 23:04:04 #fedora-india #fedora-mktg #fedora-devel #fedora-python #fedora-docs #fedora-mentors 
Jun 28 23:04:07 <Soumya>	yup kushal
Jun 28 23:04:08 *	debayan (n=debayan@117.198.32.183) has joined #dgplug
Jun 28 23:04:13 <kushal>	mobilesuit, please ask in #fedora for these questions 
Jun 28 23:04:19 <kushal>	mobilesuit, and type *you* 
Jun 28 23:04:29 <kushal>	ok
Jun 28 23:04:40 <kushal>	so, all in terminal 
Jun 28 23:04:42 <kushal>	type 
Jun 28 23:04:44 <roni>	!
Jun 28 23:04:48 <debayan>	baapre... great numbers here
Jun 28 23:04:51 <debayan>	nice
Jun 28 23:04:54 <kushal>	$vim  filename 
Jun 28 23:05:00 <kushal>	debayan, class is going on 
Jun 28 23:05:09 <mavu_>	!
Jun 28 23:05:11 <debayan>	kushal, ya... carry on
Jun 28 23:05:16 <debayan>	kushal, bye
Jun 28 23:05:17 <kushal>	give a new filenam e
Jun 28 23:05:22 <kushal>	roni, yes
Jun 28 23:05:35 *	rtnpro has quit ("Leaving")
