Jul 01 18:57:17 <kushal>	<--CLASS STARTED -->
Jul 01 18:57:28 *	kushal has changed the topic to:  Welcome to Linux User's Group of Durgapur | Mailing list at http://lists.dgplug.org/listinfo.cgi/users-dgplug.org | Old classes http://www.dgplug.org/irclogs/ | DOWNLOAD THIS http://www.shakthimaan.com/downloads/glv/presentations/i-want-2-do-project-tell-me-wat-2-do.pdf | From 7:00pm mbuf on FS project guidelines | 10:30pm rishi on shell commands | <--CLASS STARTED -->
Jul 01 18:57:31 *	mavu (n=satya@59.178.169.226) has joined #dgplug
Jul 01 18:57:32 *	kushal gives channel operator status to mbuf
Jul 01 18:57:34 <mbuf>	--> #2
Jul 01 18:57:43 *	kushal gives channel operator status to Soumya
Jul 01 18:57:52 <mbuf>	The views expressed in this presentation are that of my own!
Jul 01 18:58:07 <mbuf>	People are welcome to agree to disagree; but, these things I have learnt from experience
Jul 01 18:58:18 *	mavu is now known as mavu_
Jul 01 18:58:27 <mbuf>	so, I believe, it is the methodology of work that will be fruitful for all
Jul 01 18:58:51 *	rtnpro (n=rtnpro@121.241.211.243) has joined #dgplug
Jul 01 18:58:54 <mbuf>	Again, you are welcome to modify, re-distribute, copy this presentation provided you retain my name in the presentation
Jul 01 18:59:12 <mbuf>	--> #3
Jul 01 18:59:13 *	amrita has quit (Read error: 104 (Connection reset by peer))
Jul 01 18:59:23 *	Kishan_ (n=Kishan@218.248.70.235) has joined #dgplug
Jul 01 18:59:23 *	amrita (n=amrita@117.201.96.52) has joined #dgplug
Jul 01 18:59:40 <mbuf>	People mistakenly call the system as "Linux"; we Free Software enthusiasts refer to the system as "GNU/Linux"
Jul 01 19:00:11 <mbuf>	Open source guys are comfortable with mixing proprietary as well as open source code; Free Software is different from Open Source
Jul 01 19:00:42 <mbuf>	The word "hacker" is heavily misused in the media; Hackers are programmers who pursue programming as an artistic passion, who are eager to solve challenging problems
Jul 01 19:00:58 <mbuf>	The people who steal passwords, break down networks, cause DoS attacks are called 'crackers'
Jul 01 19:01:12 <mbuf>	So, whenever anyone uses the terminology incorrectly, kindly correct them!
Jul 01 19:01:17 <mbuf>	--> #4
Jul 01 19:01:35 <mbuf>	It is very important in society to understand the meaning of 'earn your living'
Jul 01 19:02:02 <mbuf>	most people try to inherit their parents' property or business, and live on it for life -- without doing much work
Jul 01 19:02:05 *	sumitc (n=Sumit@59.93.202.240) has joined #dgplug
Jul 01 19:02:27 <mbuf>	status in society is not measured by how much wealth you have, but, what you have contributed to society
Jul 01 19:02:43 <mbuf>	so, work is important in life; and a good balance between work and play is essential
Jul 01 19:02:58 <mbuf>	--> #5
Jul 01 19:03:15 *	Debashree (n=Debashre@61.2.164.245) has joined #dgplug
Jul 01 19:03:20 <mbuf>	In the Free Software world, you have to have the eagerness and drive to get information
Jul 01 19:04:03 <mbuf>	Most of the information is already out there; even when you program, you are bound to get stuck with errors; but, ability to hunt on the Internet, with a resolve to solve the problem is important
Jul 01 19:04:17 <mbuf>	it is a contest of "Survival of the Fittest"
Jul 01 19:04:40 *	rtnpro has quit (Read error: 104 (Connection reset by peer))
Jul 01 19:04:46 <mbuf>	When there is hunger for knowledge, you should not feel hungry for food :)
Jul 01 19:05:24 <mbuf>	basically, you should have the 'attitude' to aggressively work on code; and also have the 'aptitude' to solve problems
Jul 01 19:05:41 <mbuf>	logical reasoning in problem solving is a _must_ if you want to become a good developer
Jul 01 19:05:52 <mbuf>	--> #6
Jul 01 19:06:11 <mbuf>	just because you have an engineering degree in your hand, it doesn't make you an engineer
Jul 01 19:06:33 *	rtnpro (n=rtnpro@121.241.211.243) has joined #dgplug
Jul 01 19:06:35 <mbuf>	just because you did a course in some technical institute, and you got a certificate, it doesn't make you an engineer
