Aug 20 18:34:27 <Amrita>	nicubunu, hi :)
Aug 20 18:34:44 <nicubunu>	hi Amrita!
Aug 20 18:35:38 *	debashree (n=debashre@117.201.97.65) has joined #dgplug
Aug 20 18:39:01 <kushal>	nicubunu, debashree is the girl whose flickr set I showed you
Aug 20 18:39:16 <kushal>	nicubunu, you already met Amrita :)
Aug 20 18:39:27 <nicubunu>	cool! I liked her drawings
Aug 20 18:39:31 <nicubunu>	yeah
Aug 20 18:40:16 <debashree>	hi! nicubunu
Aug 20 18:40:35 <nicubunu>	hi debashree!
Aug 20 18:41:24 <Amrita>	nicubunu, can you please share some of your experiences when you first started working with inkscape?
Aug 20 18:42:04 <nicubunu>	well, my first run with it was back when it was called Sodipodi and it has an awful interface
Aug 20 18:42:21 <nicubunu>	and at the time I was a newbie at working with vector graphics
Aug 20 18:42:56 <nicubunu>	I used briefly before OpenOffice Draw and very little paths in GIMP
Aug 20 18:43:27 <nicubunu>	but I was attracted instantly by the way how the Bezier tools work
Aug 20 18:44:00 <nicubunu>	but very quickly after that Sodibody was worked in what is today known as Inkscape
Aug 20 18:44:24 <nicubunu>	and also soon after that the Open Clip Art Library was started as a side-project of Inkscape
Aug 20 18:44:45 <nicubunu>	so I joined OCAL
Aug 20 18:44:58 <nicubunu>	and it was an opportunity for me to draw
Aug 20 18:45:38 <nicubunu>	and to look at drawings made by other people (big praises to Andy Ftizsimmon) and learn from the way they draw
Aug 20 18:46:34 <nicubunu>	was a godsend to have access to their sources in SVG where I had the possibility to open, dissect, understand and learn
Aug 20 18:47:51 <kushal>	nicubunu, that is around how many years back ?
Aug 20 18:48:03 <nicubunu>	4 or 5
Aug 20 18:48:18 <nicubunu>	look here: http://clipart.nicubunu.ro/?gallery=fruits
Aug 20 18:49:13 <nicubunu>	some of those are from when I was a newbie (strawberry, lemon) and a few other are newer
Aug 20 18:49:23 <kushal>	nicubunu, you made me hungry :)
Aug 20 18:49:35 <nicubunu>	sorry :p
Aug 20 18:50:31 <nicubunu>	OK, I started with Sodipodi in the fall of 2003 and moved to Inkscape after a few months, OCAL was launched in the spring of 2004
Aug 20 18:50:41 *	Kkhushi (n=khushbu@59.180.155.128) has joined #dgplug
Aug 20 18:51:08 <Amrita>	nicubunu, so as a newbie from where should you think we should start doing some work?
Aug 20 18:51:08 <nicubunu>	not sure how many of you know the history of Inkscape
Aug 20 18:51:42 <nicubunu>	but you are not that a "newbie", I saw some good things made by you
Aug 20 18:52:00 <nicubunu>	what i think is important is to draw something you like
Aug 20 18:52:13 <nicubunu>	something you are passionate about
Aug 20 18:52:21 <nicubunu>	so you won't get bored
Aug 20 18:52:39 <nicubunu>	and maybe set a kind of a goal
Aug 20 18:53:33 <nicubunu>	other than that, it's hard to direct you to a specific area, since there are so many areas: you can draw illustrations, icons, web graphics, interface mockups, etc
Aug 20 18:54:04 <nicubunu>	important is to feel good while working at them
Aug 20 18:54:28 <nicubunu>	and there is need for people with experience on any of those areas
Aug 20 18:54:49 *	ria (n=ria@59.161.144.6) has joined #dgplug
Aug 20 18:55:48 *	arpita (n=arpita@117.201.97.85) has joined #dgplug
Aug 20 18:56:18 *	Prakhar (n=prakhar@122.163.70.245) has joined #dgplug
Aug 20 18:56:35 <kushal>	nicubunu, so if you tell us some points, which we can start working on 
Aug 20 18:57:15 <nicubunu>	what do you think about working on the Echo icon set?
Aug 20 18:57:46 <kushal>	nicubunu, please explain us about it , I am sure none here heard that name before 
Aug 20 18:57:46 <nicubunu>	it is an original icon set created inside fedora, a king of side-project of the art team
Aug 20 18:58:12 <nicubunu>	we have it for some time available in fedora but not installed by default
Aug 20 18:58:32 <nicubunu>	because we didn't consider it complete enough
Aug 20 18:58:51 <nicubunu>	Martin and Luya are the people working on it the most
