Jun 29 22:45:51 <kushal>	<-- CLASS STARTED -->
Jun 29 22:46:04 *	kushal has changed the topic to:  Welcome to Linux User's Group of Durgapur | Mailing list at http://lists.dgplug.org/listinfo.cgi/users-dgplualso jg.org | How to write "Hello World!" in gcc http://tv.dgplug.org/ | Old classes http://www.dgplug.org/irclogs/ | Tonight 7pm Vi by Kushal, 10:30pm gcc by __pjp__, 12:00AM shell by rishi | <--CLASS STARTED-->
Jun 29 22:46:12 <kushal>	_pjp_, all yours 
Jun 29 22:46:25 <_pjp_>	kushal: yes, thanks.
Jun 29 22:46:45 <_pjp_>	hello guys
Jun 29 22:46:48 *	nandy_lost (n=chatzill@59.178.175.199) has joined #dgplug
Jun 29 22:46:48 *	techno_freak welcomes the most happening bachelor in bengaluru
Jun 29 22:46:59 <Soumya>	hello
Jun 29 22:47:01 <kushal>	techno_freak, shhhhh! class is going on 
Jun 29 22:47:04 <Prakhar>	Hello
Jun 29 22:47:05 <Kishan>	hi.
Jun 29 22:47:19 <_pjp_>	I assume everybody here know how to edit a file, and write a C program.
Jun 29 22:47:25 *	ecntrk1 (i=sunny@117.194.0.243) has joined #dgplug
Jun 29 22:47:34 <techno_freak>	_pjp_, no :|
Jun 29 22:47:38 <kushal>	techno_freak, please 
Jun 29 22:47:44 <_pjp_>	techno_freak: hi
Jun 29 22:47:59 <techno_freak>	kushal, err.. i donno the second part, let him tell
Jun 29 22:48:06 <ecntrk1>	!
Jun 29 22:48:14 <kushal>	ecntrk, yes 
Jun 29 22:48:31 <ecntrk1>	i got disconnected..
Jun 29 22:48:39 <kushal>	nothing happened 
Jun 29 22:48:42 <ecntrk1>	is it the 1st class?
Jun 29 22:48:51 <kushal>	ecntrk, and from now on please ask friends in pm
Jun 29 22:49:00 <kushal>	_pjp_, please carry on 
Jun 29 22:49:11 <ecntrk1>	<eof>
Jun 29 22:49:26 <_pjp_>	so for example, let's write the program to print the greeting ï»¿ "hello, world\n" and I'll explain how to compile it, and other things related.
Jun 29 22:49:39 <_pjp_>	techno_freak: ?
Jun 29 22:49:48 <techno_freak>	_pjp_, carry on
Jun 29 22:51:03 *	ecntrk has quit (Read error: 110 (Connection timed out))
Jun 29 22:52:25 <_pjp_>	does everyone have the program ready?
Jun 29 22:52:27 *	debayan (n=debayan@117.198.32.77) has joined #dgplug
Jun 29 22:52:30 <_pjp_>	see: http://rafb.net/p/2t460H47.html
Jun 29 22:52:33 <ecntrk1>	I have...
Jun 29 22:52:44 <_pjp_>	Great!
Jun 29 22:53:12 <ecntrk1>	but.. I'm not in linux.. so in notepad...:(
Jun 29 22:53:13 <Prams>	done
Jun 29 22:53:20 <kushal>	ecntrk1, DON"T SPEAK 
Jun 29 22:53:23 <kushal>	ecntrk1, use !
Jun 29 22:53:23 <ria>	_pjp_, ya ready
Jun 29 22:53:46 <ecntrk1>	!sure...sorry...<eof>
Jun 29 22:53:51 <_pjp_>	ecntrk1: you need the Linux terminal
Jun 29 22:53:55 *	Debashree_ (n=Debashre@61.2.164.146) has joined #dgplug
Jun 29 22:53:56 <arpita>	_pjp_, yes ready
Jun 29 22:54:10 <Prakhar>	done
Jun 29 22:54:20 <roni>	done
Jun 29 22:54:22 <ecntrk1>	!
Jun 29 22:54:24 <techno_freak>	done
Jun 29 22:54:33 <susenj>	done
