Jun 30 01:26:23 <rishi>	<-------- Class started -------->
Jun 30 01:26:26 *	roni has quit ("Leaving")
Jun 30 01:26:30 *	roni (n=aritra@117.201.96.252) has joined #dgplug
Jun 30 01:26:53 <rishi>	This is the second class on the basics of the Unix shell.
Jun 30 01:27:14 <rishi>	For today's class we will assume knowledge of:
Jun 30 01:27:28 <rishi>	(i) what the shell is and what it does
Jun 30 01:27:51 <rishi>	(ii) ability to use man, apropos, whatis and info to see documentation
Jun 30 01:28:06 <rishi>	(iii) cd, pwd, basename and dirname
Jun 30 01:28:32 *	roni has quit (Client Quit)
Jun 30 01:28:37 <rishi>	(iv) meanings of '~', '..', '.', '$HOME', '-'
Jun 30 01:28:51 *	roni (n=aritra@117.201.96.252) has joined #dgplug
Jun 30 01:29:10 <rishi>	Like yesterday everyone is encouraged to ask questions. Use a '!' and wait fro your turn.
Jun 30 01:29:41 *	mavu (n=satya@59.178.190.54) has joined #dgplug
Jun 30 01:29:59 <rishi>	If you find that I am not responding for a long time, say 15 minutes, then that is because of a powercut at my house.
Jun 30 01:30:53 <rishi>	Today we will look at basic manipulation of files and directories.
Jun 30 01:32:08 <rishi>	cp, ln, ls, mkdir, mv, rm <-- please have a look at the documentation for these
Jun 30 01:33:29 <susenj>	!
Jun 30 01:34:17 <rishi>	susenj: Ask.
Jun 30 01:34:23 <susenj>	i din't understand 'ln'-to make links between files.which type of link it is?
Jun 30 01:34:43 <susenj>	<eof>
Jun 30 01:34:52 <pushkal>	same query <eof>
Jun 30 01:34:59 <rishi>	A link is something similar to a shortcut in Windows, but exactly the same thing.
Jun 30 01:35:12 *	Kishan (n=Kishan@218.248.70.235) has left #dgplug ("Leaving")
Jun 30 01:35:53 <rishi>	pushkal, susenj: Clear?
Jun 30 01:36:03 <pushkal>	!
Jun 30 01:36:08 <susenj>	pls provide an example to show.....<eof>how to make links
Jun 30 01:36:10 <rishi>	pushkal: Ask
Jun 30 01:36:12 <susenj>	<eof>
Jun 30 01:36:28 <rishi>	susenj: Will come to that later.
Jun 30 01:36:29 <pushkal>	a shortcut in windows is not between two files..
Jun 30 01:36:39 <pushkal>	here it says between stwo files
Jun 30 01:36:42 <pushkal>	<eof>
Jun 30 01:36:54 *	ria has quit ("Leaving")
Jun 30 01:36:57 <rishi>	pushkal: What is a shortcut then?
Jun 30 01:37:33 <deepak>	!
Jun 30 01:38:15 <pushkal>	rishi: k clear <eof>
Jun 30 01:38:39 <rishi>	deepak: Ask.
Jun 30 01:38:43 *	amrita has quit (Remote closed the connection)
Jun 30 01:39:14 <deepak>	do operating system use soft link and hard link?
Jun 30 01:39:40 <deepak>	<eof>
Jun 30 01:41:39 <rishi>	deepak: Are you asking whether both are supported or not?
Jun 30 01:45:21 <rishi>	deepak: What do you mean by "used by operating system" ?
Jun 30 01:45:42 <rishi>	If it was not supported by the OS there is no way you could have had hard/soft links.
Jun 30 01:46:09 <rishi>	By the way if someone wants to read a bit more: http://kb.iu.edu/data/aibc.html
Jun 30 01:46:37 *	mavu_ has quit (Read error: 110 (Connection timed out))
Jun 30 01:46:37 <deepak>	means both user and OS use linking concept
Jun 30 01:47:33 <rishi>	The user uses it. That is what the ln command provides.
Jun 30 01:48:22 <rishi>	I do not know what you mean by "OS use linking concept". If the OS supports it, you can use it.
Jun 30 01:48:34 <deepak>	how the OS uses this linking concept?
Jun 30 01:50:03 <deepak>	please site some example where OS use soft linking or hard linking?
Jun 30 01:50:09 <rishi>	deepak: There is nothing special about how the OS uses it. It uses it like any other user would use it -- to create links.
Jun 30 01:50:40 <rishi>	A hard link is just another entry for a file that already existed.
Jun 30 01:51:59 *	roni has quit (Read error: 110 (Connection timed out))
Jun 30 01:51:59 <deepak>	means you want to say OS uses it in the same way as user
Jun 30 01:52:39 <rishi>	deepak: Are you asking how the OS implements links?
Jun 30 01:52:50 <rishi>	"implements" is different from "uses"
Jun 30 01:53:04 <deepak>	yes
Jun 30 01:53:29 <rishi>	deepak: Please use the right words. I can not guess what is on your mind.
Jun 30 01:53:54 <rishi>	http://kb.iu.edu/data/abbe.html
Jun 30 01:54:02 <rishi>	http://kb.iu.edu/data/aibc.html
Jun 30 01:54:38 <rishi>	deepak: Will come to links when we discuss the ln command.
Jun 30 01:54:38 <rishi>	For the moment, just go through those links.
Jun 30 01:54:38 <rishi>	Ok.
Jun 30 01:54:40 <rishi>	So lets move ahead.
Jun 30 01:55:04 <rishi>	The cp command is what allows us to copy files and directories.
Jun 30 01:55:55 <rishi>	In Unix almost all I/O related things are represented as files.
Jun 30 01:56:32 <rishi>	A directory is just a special file, so what applies to files also applies to directories (with some modifications).
Jun 30 01:57:19 *	coolpyro_rishi has quit (Read error: 110 (Connection timed out))
Jun 30 01:58:30 <rishi>	It will also help to remember that every file has an entry in some filesystem.
Jun 30 01:59:19 <rishi>	And each entry is represented by an inode.
Jun 30 01:59:38 *	TanmayaT (n=chatzill@59.95.194.40) has joined #dgplug
Jun 30 02:00:04 *	TanmayaT has quit (Client Quit)
Jun 30 02:00:25 <rishi>	We don't need too many details about inodes today. Just remember that each inode has an index number corresponding to it.
Jun 30 02:00:41 <rishi>	For further reading on inodes: http://en.wikipedia.org/wiki/Inode
Jun 30 02:01:00 <rishi>	So if you do:
Jun 30 02:01:09 <rishi>	$ cp foo /tmp
Jun 30 02:01:51 <rishi>	..it will copy an existing file named foo, present in your current working directory, to a directory named /tmp.
Jun 30 02:02:51 <rishi>	In case there was no directory named tmp under /, cp will try to create a file named tmp which will be a copy of foo,
Jun 30 02:03:09 <rishi>	Another alternative is:
Jun 30 02:03:16 <rishi>	$ cp foo /tmp/bar
Jun 30 02:03:50 <rishi>	Sorry, not really an alternative, rather just another example.
