Jul 02 23:08:45 <rishi>	<--------CLASS STARTS----------->
Jul 02 23:08:55 <rishi>	Can we have a roll call to start with?
Jul 02 23:09:01 <rangeen>	ya
Jul 02 23:09:04 <deepak>	deepak kumar
Jul 02 23:09:10 <ria>	ria das
Jul 02 23:09:10 <amrita>	amrita mukherjee
Jul 02 23:09:15 <ecntrk>	Debmalya Sinha
Jul 02 23:09:16 <Debashree>	debashree banerjee
Jul 02 23:09:18 <sunny_slls>	sunnysharma
Jul 02 23:09:19 <techno_freak>	ria, note down the roll call and pass it to kushal
Jul 02 23:09:20 <arpita>	arpita kapoor
Jul 02 23:09:21 <Pramit>	pramit roychowdhury
Jul 02 23:09:22 <rangeen>	rangeen basu roy chowdhury
Jul 02 23:09:36 <bose_aritra>	aritra bose
Jul 02 23:09:43 <ria>	techno_freak, better you do that
Jul 02 23:09:43 <ria>	techno_freak, we dont talk
Jul 02 23:09:45 <ria>	:)
Jul 02 23:09:50 <tuxmaniac>	Aanjhan Ranganathan
Jul 02 23:09:53 <techno_freak>	ria, ok, he is anways logging all this
Jul 02 23:10:00 <techno_freak>	Parthan
Jul 02 23:10:05 <makghosh>	Arindam Ghosh
Jul 02 23:10:06 <rishi>	techno_freak, ria: I have turned on logging.
Jul 02 23:10:17 <techno_freak>	ok....
Jul 02 23:10:20 <rishi>	Anybody else?
Jul 02 23:10:22 <ecntrk>	rishi: good job mate
Jul 02 23:10:28 <Kishan>	kishan goyal
Jul 02 23:10:29 <techno_freak>	-------- BELL RINGS ---------------
Jul 02 23:10:46 <rishi>	So here we go. This is our third class on basic shell.
Jul 02 23:11:09 *	Pramit_ (n=chatzill@125.20.11.34) has joined #dgplug
Jul 02 23:11:22 <rishi>	Like in the last class, we will assume that you know how to use man, apropos, whatis and info to browse documentation on your system.
Jul 02 23:11:42 <rishi>	Those who don't have a Unix system at hand can use the Internet to get the documentation.
Jul 02 23:11:54 *	ria has quit (Read error: 54 (Connection reset by peer))
Jul 02 23:12:07 <rishi>	We have already covered: cd, pwd, basename, dirname, cp, ls and touch.
Jul 02 23:12:15 <sunny_slls>	!
Jul 02 23:12:23 *	ria (n=ria@219.64.76.23) has joined #dgplug
Jul 02 23:12:40 <rishi>	So I will assume that you already know them, or have atleast consulted the documentation before asking about them again.
Jul 02 23:12:43 <rishi>	sunny_slls: Ask.
Jul 02 23:12:56 <sunny_slls>	rishi, what is the url for documentation
Jul 02 23:13:25 <rishi>	sunny_slls: Use Google, Yahoo! or any search engine to find out.
Jul 02 23:13:31 *	susenj_ (n=chatzill@59.178.164.224) has joined #dgplug
Jul 02 23:14:15 <rishi>	So today we will start with: mv, ln, mkdir and rm.
Jul 02 23:14:26 <rishi>	If time permits we will take up some more commands.
Jul 02 23:15:13 <rishi>	So just have a look at the documentation for mv, ln, mkdir and rm before we take them up one by one.
Jul 02 23:15:18 *	rishi waits
Jul 02 23:16:03 <sunny_slls>	!
Jul 02 23:17:01 <sunny_slls>	rishi, i am unable to understand what documentation you are talking about.......
Jul 02 23:17:20 <rishi>	sunny_slls: Did you attend the any of the previous two classes?
Jul 02 23:17:29 <sunny_slls>	rishi, sorry no
Jul 02 23:17:31 *	chiks (n=chatzill@125.20.11.34) has joined #dgplug
Jul 02 23:17:49 <rishi>	sunny_slls: Given any command (eg., mv) you can do:
Jul 02 23:17:52 <rishi>	$ man mv
Jul 02 23:17:55 <rishi>	$ whatis mv
Jul 02 23:18:00 <rishi>	$ info mv
Jul 02 23:18:17 <rishi>	...to access the documentation for the command that is already installed on your system.
Jul 02 23:19:09 <sunny_slls>	rishi, man means that it will tell you about the respective command
Jul 02 23:19:42 <rishi>	sunny_slls: Do you have a Unix system right now?
Jul 02 23:20:13 <sunny_slls>	rishi, yes but i can't access internet on it
Jul 02 23:20:33 <techno_freak>	sunny_slls, please attend this class, look at old logs and learn from them
Jul 02 23:20:34 <rishi>	All those who have a Unix system during the course of the class, please try out the command before asking any question. That way we will save a lot of time.
Jul 02 23:20:42 <techno_freak>	rishi, you may continue with never commands
Jul 02 23:20:51 *	rishi nods
Jul 02 23:21:18 <rishi>	'mv' as you may have guesses is for moving files around.
Jul 02 23:21:30 <rishi>	This is similar to cp, which stood for copy.
Jul 02 23:21:59 <rishi>	If cp did copy/paste, mv does cut/paste.
Jul 02 23:22:22 <rishi>	So to move ~/foo to the /tmp directory, you will do:
Jul 02 23:22:29 <rishi>	$ mv ~/foo /tmp
Jul 02 23:22:54 <rishi>	...and then you will have /tmp/foo instead of ~/foo.
Jul 02 23:23:22 <rishi>	Since directories are merely special files, the same applies for directories as well:
Jul 02 23:23:30 <rishi>	$ mv ~/dir1 /tmp
Jul 02 23:23:49 <rishi>	...will move the directory ~/dir1 to /tmp and give you /tmp/dir1.
Jul 02 23:23:56 <rishi>	~/dir1 will no longer be there.
Jul 02 23:23:58 <rishi>	Any questions?
Jul 02 23:24:43 *	chiks has quit (Read error: 104 (Connection reset by peer))
Jul 02 23:25:04 *	rishi is waiting
Jul 02 23:25:34 <deepak>	!
Jul 02 23:25:44 *	khushi (n=khushbu@59.180.132.90) has joined #dgplug
Jul 02 23:25:46 <rishi>	deepak: Ask.
Jul 02 23:26:49 <deepak>	rishi:if the directory you are moving contains some subdirectories then also it can be moved
Jul 02 23:27:16 <rishi>	deepak: Yes, the directory and everything within it will move.
Jul 02 23:27:49 <Kishan>	!
Jul 02 23:27:56 <rishi>	Kishan: Ask.
Jul 02 23:28:03 *	rangeen_ (i=sherry@220.226.24.34) has joined #dgplug
Jul 02 23:28:05 <ecntrk>	!
Jul 02 23:28:10 <rishi>	ecntrk: Wait.
Jul 02 23:28:12 <Kishan>	can we move more than one directories at once?
Jul 02 23:28:20 *	rangeen has quit (Nick collision from services.)
Jul 02 23:28:38 *	rangeen_ is now known as rangeen
Jul 02 23:28:44 <rishi>	Kishan: Yes.
Jul 02 23:28:54 <rishi>	$ mv ~/dir1 ~/dir2 /tmp
Jul 02 23:29:03 <rishi>	... will move _both_ dir1 and dir2.
Jul 02 23:29:14 <Kishan>	ok thanks...
Jul 02 23:29:18 <rishi>	ecntrk: Ask.
Jul 02 23:29:22 <ecntrk>	Suppose a directory has 100 files and we want95 of them moved... How this can be done without redundantly specifying all the filenames?
Jul 02 23:29:22 <bose_aritra>	!
Jul 02 23:29:36 <ecntrk>	<eof>
Jul 02 23:30:00 *	Pramit has quit (Read error: 110 (Connection timed out))
Jul 02 23:30:00 <techno_freak>	(move 100 files and delete the unwanted 5?)
Jul 02 23:30:06 *	chiks (n=chatzill@125.20.11.34) has joined #dgplug
Jul 02 23:30:07 <ecntrk>	Like in GUI mode.. we select all then deselect 5...<eof>
Jul 02 23:30:20 <rishi>	ecntrk: That is what techno_freak said.
Jul 02 23:30:41 <rishi>	mv the entire thing, and then restore those five which were not needed to be moved.
Jul 02 23:30:43 <ecntrk>	techno_freak: no we want those five remaining in the parent dir
Jul 02 23:30:47 <ecntrk>	<eof>
Jul 02 23:30:51 <rishi>	mv the entire thing, and then restore those five which were not needed to be moved.
Jul 02 23:30:58 <rishi>	bose_aritra: Wait.
Jul 02 23:31:05 <techno_freak>	(s/delete/move back/)
Jul 02 23:31:31 <rishi>	$ mv * /destination
